timestamp,Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,Date
2020-06-30 13:49:00,1:49 PM,89.2 F,66.9 F,48 %,South,1.6 mph,2.2 mph,29.99 in,0.00 in,0.00 in,6.0,716.2 w/m²,2020-06-30
2020-06-30 13:54:00,1:54 PM,89.6 F,66.8 F,47 %,South,1.4 mph,1.9 mph,29.99 in,0.00 in,0.00 in,7.0,732.7 w/m²,2020-06-30
2020-06-30 13:59:00,1:59 PM,90.0 F,67.0 F,47 %,South,1.4 mph,2.1 mph,29.99 in,0.00 in,0.00 in,7.0,735.7 w/m²,2020-06-30
2020-06-30 14:04:00,2:04 PM,89.7 F,67.8 F,49 %,SSW,1.1 mph,1.8 mph,29.99 in,0.00 in,0.00 in,7.0,733 w/m²,2020-06-30
2020-06-30 14:09:00,2:09 PM,89.0 F,66.9 F,48 %,SSW,1.0 mph,1.8 mph,29.99 in,0.00 in,0.00 in,7.0,727.4 w/m²,2020-06-30
2020-06-30 14:14:00,2:14 PM,89.9 F,67.6 F,48 %,South,0.9 mph,1.3 mph,29.99 in,0.00 in,0.00 in,7.0,738.8 w/m²,2020-06-30
2020-06-30 14:19:00,2:19 PM,90.4 F,67.8 F,48 %,South,1.1 mph,1.7 mph,29.99 in,0.00 in,0.00 in,7.0,740.9 w/m²,2020-06-30
2020-06-30 14:24:00,2:24 PM,90.3 F,67.8 F,48 %,SSW,3.0 mph,3.8 mph,29.99 in,0.00 in,0.00 in,7.0,739.2 w/m²,2020-06-30
2020-06-30 14:29:00,2:29 PM,89.0 F,67.3 F,49 %,South,2.4 mph,3.5 mph,29.99 in,0.00 in,0.00 in,7.0,730.1 w/m²,2020-06-30
2020-06-30 14:34:00,2:34 PM,90.1 F,68.1 F,49 %,South,0.8 mph,1.5 mph,29.99 in,0.00 in,0.00 in,7.0,724.8 w/m²,2020-06-30
2020-06-30 14:39:00,2:39 PM,84.0 F,68.7 F,60 %,SW,2.2 mph,3.4 mph,29.99 in,0.00 in,0.00 in,6.0,703.5 w/m²,2020-06-30
2020-06-30 14:44:00,2:44 PM,83.0 F,68.4 F,61 %,South,1.6 mph,2.3 mph,29.99 in,0.00 in,0.00 in,6.0,718.4 w/m²,2020-06-30
2020-06-30 14:49:00,2:49 PM,83.2 F,68.6 F,61 %,South,1.9 mph,2.5 mph,29.99 in,0.00 in,0.00 in,6.0,717.5 w/m²,2020-06-30
2020-06-30 14:54:00,2:54 PM,83.1 F,67.9 F,60 %,SSW,2.3 mph,3.4 mph,29.99 in,0.00 in,0.00 in,7.0,720.6 w/m²,2020-06-30
2020-06-30 14:59:00,2:59 PM,83.0 F,68.5 F,62 %,South,2.0 mph,2.9 mph,29.99 in,0.00 in,0.00 in,6.0,701.8 w/m²,2020-06-30
2020-06-30 15:04:00,3:04 PM,82.3 F,67.8 F,61 %,SSW,1.4 mph,2.2 mph,29.99 in,0.00 in,0.00 in,6.0,702.3 w/m²,2020-06-30
2020-06-30 15:09:00,3:09 PM,82.3 F,68.7 F,64 %,SE,2.4 mph,3.4 mph,29.99 in,0.00 in,0.00 in,6.0,692.8 w/m²,2020-06-30
2020-06-30 15:14:00,3:14 PM,80.6 F,67.4 F,64 %,WNW,1.9 mph,2.3 mph,29.99 in,0.00 in,0.00 in,6.0,694.5 w/m²,2020-06-30
2020-06-30 15:19:00,3:19 PM,81.8 F,67.4 F,62 %,SE,1.4 mph,1.9 mph,29.98 in,0.00 in,0.00 in,6.0,660.2 w/m²,2020-06-30
2020-06-30 15:24:00,3:24 PM,83.1 F,67.9 F,60 %,South,1.2 mph,1.7 mph,29.98 in,0.00 in,0.00 in,6.0,668.9 w/m²,2020-06-30
2020-06-30 15:29:00,3:29 PM,83.4 F,67.9 F,60 %,SSW,1.3 mph,1.9 mph,29.98 in,0.00 in,0.00 in,6.0,676.6 w/m²,2020-06-30
2020-06-30 15:34:00,3:34 PM,83.6 F,68.7 F,61 %,SSE,1.2 mph,1.7 mph,29.98 in,0.00 in,0.00 in,6.0,675.4 w/m²,2020-06-30
2020-06-30 15:39:00,3:39 PM,84.7 F,68.2 F,58 %,South,1.4 mph,2.2 mph,29.98 in,0.00 in,0.00 in,6.0,695.4 w/m²,2020-06-30
2020-06-30 15:44:00,3:44 PM,85.3 F,70.1 F,61 %,SSW,1.5 mph,2.0 mph,29.98 in,0.00 in,0.00 in,6.0,698.4 w/m²,2020-06-30
2020-06-30 15:49:00,3:49 PM,82.8 F,69.1 F,63 %,South,0.6 mph,1.0 mph,29.98 in,0.00 in,0.00 in,6.0,688.4 w/m²,2020-06-30
2020-06-30 15:54:00,3:54 PM,83.1 F,69.7 F,64 %,SSW,1.3 mph,1.8 mph,29.98 in,0.00 in,0.00 in,6.0,652.4 w/m²,2020-06-30
2020-06-30 15:59:00,3:59 PM,80.2 F,68.9 F,69 %,SSW,2.2 mph,3.0 mph,29.98 in,0.00 in,0.00 in,6.0,632.8 w/m²,2020-06-30
2020-06-30 16:04:00,4:04 PM,78.4 F,68.1 F,71 %,SSW,1.7 mph,2.7 mph,29.98 in,0.00 in,0.00 in,6.0,652.8 w/m²,2020-06-30
2020-06-30 16:09:00,4:09 PM,78.1 F,67.5 F,70 %,West,2.9 mph,3.7 mph,29.98 in,0.00 in,0.00 in,6.0,652.8 w/m²,2020-06-30
2020-06-30 16:14:00,4:14 PM,77.5 F,67.0 F,70 %,NW,3.2 mph,4.1 mph,29.98 in,0.00 in,0.00 in,6.0,651.6 w/m²,2020-06-30
2020-06-30 16:19:00,4:19 PM,77.5 F,67.6 F,72 %,NNE,3.4 mph,4.4 mph,29.98 in,0.00 in,0.00 in,6.0,644.1 w/m²,2020-06-30
2020-06-30 16:24:00,4:24 PM,76.2 F,67.7 F,75 %,NNW,4.1 mph,5.3 mph,29.98 in,0.00 in,0.00 in,6.0,638.5 w/m²,2020-06-30
2020-06-30 16:29:00,4:29 PM,76.2 F,67.3 F,74 %,West,2.6 mph,3.7 mph,29.98 in,0.00 in,0.00 in,5.0,609.5 w/m²,2020-06-30
2020-06-30 16:34:00,4:34 PM,76.6 F,67.2 F,73 %,WNW,3.9 mph,4.9 mph,29.98 in,0.00 in,0.00 in,5.0,615.1 w/m²,2020-06-30
2020-06-30 16:39:00,4:39 PM,76.7 F,67.2 F,72 %,NW,3.9 mph,5.0 mph,29.98 in,0.00 in,0.00 in,6.0,617.7 w/m²,2020-06-30
2020-06-30 16:44:00,4:44 PM,76.8 F,67.3 F,73 %,NNW,5.4 mph,6.7 mph,29.98 in,0.00 in,0.00 in,5.0,612.5 w/m²,2020-06-30
2020-06-30 16:49:00,4:49 PM,76.1 F,67.0 F,74 %,NNW,5.5 mph,6.4 mph,29.97 in,0.00 in,0.00 in,5.0,610.7 w/m²,2020-06-30
2020-06-30 16:54:00,4:54 PM,75.9 F,66.9 F,74 %,NNW,6.2 mph,7.4 mph,29.98 in,0.00 in,0.00 in,5.0,601.2 w/m²,2020-06-30
