timestamp,Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,Date
2020-06-27 00:00:00,12:00 AM,67.8 F,65.0 F,92 %,North,0.0 mph,1.0 mph,29.71 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 00:15:00,12:15 AM,67.5 F,65.0 F,92 %,North,0.0 mph,1.0 mph,29.71 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 00:30:00,12:30 AM,66.5 F,64.0 F,93 %,North,0.0 mph,1.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 00:45:00,12:45 AM,66.7 F,64.0 F,93 %,North,0.0 mph,1.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 01:00:00,1:00 AM,66.6 F,64.0 F,94 %,North,0.0 mph,0.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 01:15:00,1:15 AM,66.8 F,65.0 F,94 %,North,0.0 mph,2.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 01:30:00,1:30 AM,67.0 F,65.0 F,94 %,North,0.0 mph,5.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 01:45:00,1:45 AM,67.2 F,65.0 F,93 %,West,1.0 mph,1.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 02:00:00,2:00 AM,67.5 F,65.0 F,93 %,North,0.0 mph,2.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 02:15:00,2:15 AM,67.7 F,65.0 F,93 %,West,2.0 mph,6.0 mph,29.73 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 02:30:00,2:30 AM,67.7 F,65.0 F,93 %,North,0.0 mph,3.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 02:45:00,2:45 AM,67.6 F,65.0 F,93 %,North,0.0 mph,2.0 mph,29.73 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 03:00:00,3:00 AM,67.3 F,65.0 F,93 %,North,0.0 mph,2.0 mph,29.73 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 03:15:00,3:15 AM,67.2 F,65.0 F,94 %,North,0.0 mph,2.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 03:30:00,3:30 AM,67.4 F,65.0 F,93 %,North,0.0 mph,2.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 03:45:00,3:45 AM,67.6 F,65.0 F,93 %,West,3.0 mph,3.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 04:00:00,4:00 AM,67.9 F,66.0 F,93 %,WNW,0.0 mph,3.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 04:15:00,4:15 AM,68.1 F,66.0 F,93 %,West,2.0 mph,7.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 04:30:00,4:30 AM,67.8 F,65.0 F,93 %,West,1.0 mph,6.0 mph,29.71 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 04:45:00,4:45 AM,67.3 F,65.0 F,93 %,WNW,0.0 mph,6.0 mph,29.71 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 05:00:00,5:00 AM,66.7 F,64.0 F,94 %,NW,0.0 mph,4.0 mph,29.71 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 05:15:00,5:15 AM,66.5 F,64.0 F,94 %,North,0.0 mph,3.0 mph,29.71 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 05:30:00,5:30 AM,66.4 F,64.0 F,94 %,West,0.0 mph,4.0 mph,29.71 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 05:45:00,5:45 AM,66.3 F,64.0 F,94 %,West,0.0 mph,3.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 06:00:00,6:00 AM,66.0 F,64.0 F,94 %,North,0.0 mph,3.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 06:15:00,6:15 AM,65.5 F,63.0 F,94 %,North,0.0 mph,0.0 mph,29.72 in,0.00 in,0.00 in,,w/m²,2020-06-27
