timestamp,Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,Date
2020-06-27 00:04:00,12:04 AM,67.5 F,66.6 F,97 %,SSE,2.1 mph,3.6 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:09:00,12:09 AM,67.5 F,66.6 F,97 %,SSW,1.8 mph,2.9 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:14:00,12:14 AM,67.5 F,66.5 F,96 %,South,3.1 mph,4.5 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:19:00,12:19 AM,67.6 F,66.6 F,96 %,South,2.9 mph,4.5 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:24:00,12:24 AM,67.6 F,66.6 F,96 %,SSE,3.0 mph,4.9 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:29:00,12:29 AM,67.7 F,66.7 F,96 %,South,2.6 mph,4.5 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:34:00,12:34 AM,67.8 F,66.7 F,96 %,South,2.2 mph,3.4 mph,29.73 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:39:00,12:39 AM,67.8 F,66.7 F,96 %,SSE,1.9 mph,3.5 mph,29.73 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:44:00,12:44 AM,67.8 F,66.5 F,95 %,South,4.0 mph,5.3 mph,29.73 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:49:00,12:49 AM,67.8 F,66.4 F,95 %,SSE,1.6 mph,3.2 mph,29.73 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:54:00,12:54 AM,67.8 F,66.4 F,95 %,SSE,2.0 mph,3.3 mph,29.73 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:59:00,12:59 AM,67.8 F,66.7 F,96 %,SSW,1.2 mph,2.4 mph,29.73 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:04:00,1:04 AM,67.7 F,66.6 F,96 %,South,2.9 mph,4.7 mph,29.73 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:09:00,1:09 AM,67.6 F,66.3 F,95 %,South,3.2 mph,5.3 mph,29.73 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:14:00,1:14 AM,67.6 F,66.2 F,95 %,SSW,3.0 mph,4.6 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:19:00,1:19 AM,67.6 F,66.2 F,95 %,South,2.8 mph,4.3 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:24:00,1:24 AM,67.6 F,66.3 F,95 %,SSW,1.5 mph,3.3 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:29:00,1:29 AM,67.6 F,66.4 F,96 %,SSW,1.0 mph,2.0 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:34:00,1:34 AM,67.6 F,66.5 F,96 %,South,2.2 mph,3.5 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:39:00,1:39 AM,67.6 F,66.6 F,96 %,SSE,1.2 mph,2.5 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:44:00,1:44 AM,67.6 F,66.6 F,96 %,SSW,2.4 mph,4.0 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:49:00,1:49 AM,67.8 F,66.7 F,96 %,South,1.2 mph,2.1 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:54:00,1:54 AM,67.8 F,66.7 F,96 %,South,2.2 mph,3.7 mph,29.73 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:59:00,1:59 AM,67.8 F,66.7 F,96 %,SSW,2.9 mph,4.6 mph,29.72 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 02:04:00,2:04 AM,67.9 F,66.8 F,96 %,SSE,3.8 mph,5.3 mph,29.73 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
