timestamp,Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,Date
2020-06-27 00:04:00,12:04 AM,67.1 F,66.8 F,99 %,North,0.0 mph,--,29.56 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 00:09:00,12:09 AM,67.1 F,66.8 F,99 %,NW,3.0 mph,--,29.56 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 00:14:00,12:14 AM,67.1 F,66.8 F,99 %,NW,0.2 mph,--,29.56 in,0.00 in,0.00 in,,w/m²,2020-06-27
2020-06-27 00:19:00,12:19 AM,67.1 F,66.8 F,99 %,North,0.0 mph,--,29.56 in,0.48 in,0.48 in,,w/m²,2020-06-27
2020-06-27 00:24:00,12:24 AM,67.1 F,66.8 F,99 %,North,0.0 mph,--,29.56 in,0.48 in,0.48 in,,w/m²,2020-06-27
2020-06-27 00:29:00,12:29 AM,67.1 F,66.8 F,99 %,North,0.0 mph,--,29.56 in,0.48 in,0.48 in,,w/m²,2020-06-27
2020-06-27 00:34:00,12:34 AM,67.1 F,66.8 F,99 %,North,0.0 mph,--,29.56 in,0.48 in,0.48 in,,w/m²,2020-06-27
2020-06-27 00:39:00,12:39 AM,67.1 F,66.8 F,99 %,SW,1.7 mph,--,29.57 in,0.48 in,0.48 in,,w/m²,2020-06-27
2020-06-27 00:44:00,12:44 AM,67.1 F,66.8 F,99 %,NW,0.4 mph,--,29.57 in,0.48 in,0.48 in,,w/m²,2020-06-27
2020-06-27 00:49:00,12:49 AM,67.1 F,66.8 F,99 %,SSW,0.3 mph,--,29.57 in,0.48 in,0.48 in,,w/m²,2020-06-27
2020-06-27 00:54:00,12:54 AM,67.1 F,66.8 F,99 %,South,0.1 mph,--,29.57 in,0.48 in,0.48 in,,w/m²,2020-06-27
2020-06-27 00:59:00,12:59 AM,67.1 F,66.8 F,99 %,NNE,0.6 mph,--,29.57 in,0.48 in,0.48 in,,w/m²,2020-06-27
2020-06-27 01:09:00,1:09 AM,67.3 F,67.0 F,99 %,NNW,0.9 mph,--,29.57 in,0.48 in,0.48 in,,w/m²,2020-06-27
2020-06-27 01:14:00,1:14 AM,67.3 F,67.0 F,99 %,North,0.0 mph,--,29.57 in,0.48 in,0.48 in,,w/m²,2020-06-27
2020-06-27 01:24:00,1:24 AM,67.3 F,67.0 F,99 %,North,0.0 mph,--,29.57 in,0.00 in,0.48 in,,w/m²,2020-06-27
2020-06-27 01:29:00,1:29 AM,67.3 F,67.0 F,99 %,East,0.9 mph,--,29.57 in,0.00 in,0.48 in,,w/m²,2020-06-27
2020-06-27 01:39:00,1:39 AM,67.3 F,67.0 F,99 %,WNW,1.3 mph,--,29.56 in,0.00 in,0.48 in,,w/m²,2020-06-27
2020-06-27 01:44:00,1:44 AM,67.3 F,67.0 F,99 %,WNW,1.2 mph,--,29.56 in,0.00 in,0.48 in,,w/m²,2020-06-27
2020-06-27 01:49:00,1:49 AM,67.3 F,67.0 F,99 %,NNW,1.4 mph,--,29.56 in,0.00 in,0.48 in,,w/m²,2020-06-27
2020-06-27 01:54:00,1:54 AM,67.3 F,67.0 F,99 %,WSW,2.0 mph,--,29.57 in,0.00 in,0.48 in,,w/m²,2020-06-27
